year,region,mtumors,syncmtumors,insitu,ncervix
12,2020,Дніпропетровська,800,207,122,63
13,2020,Донецька,280,88,17,7
14,2020,Житомирська,249,54,101,77
15,2020,Закарпатська,116,26,12,7
16,2020,Запорізька,433,112,29,5
17,2020,Івано-Франківська,248,80,34,7
18,2020,Київська,388,104,25,16
19,2020,Кіровоградська,360,116,59,33
20,2020,Луганська,176,58,40,25
21,2020,Львівська,498,129,151,125
22,2020,Миколаївська,225,33,14,11
23,2020,Одеська,404,144,61,35
24,2020,Полтавська,316,74,21,16
25,2020,Рівненська,136,32,23,20
26,2020,Сумська,325,82,42,37
27,2020,Тернопільська,185,55,9,9
28,2020,Харківська,852,305,88,38
29,2020,Херсонська,408,118,24,11
30,2020,Хмельницька,263,68,11,5
31,2020,Черкаська,349,138,33,6
32,2020,Чернівецька,97,22,9,5
33,2020,Чернігівська,299,77,19,6
34,2020,м.Київ,950,244,112,43
9,2015,АР Крим,0,0,0,0
10,2015,Вінницька,406,120,112,91
11,2015,Волинська,197,66,53,46
12,2015,Дніпропетровська,971,294,114,85
13,2015,Донецька,168,25,6,7
14,2015,Житомирська,316,99,87,69
15,2015,Закарпатська,147,44,29,25
16,2015,Запорізька,563,177,31,6
17,2015,Івано-Франківська,171,37,33,11
18,2015,Київська,453,140,43,24
19,2015,Кіровоградська,394,143,39,34
20,2015,Луганська,112,32,13,3
21,2015,Львівська,617,164,227,191
22,2015,Миколаївська,264,28,35,27
23,2015,Одеська,461,126,27,14
24,2015,Полтавська,344,88,62,54
25,2015,Рівненська,174,58,76,73
26,2015,Сумська,383,94,28,16
27,2015,Тернопільська,208,61,13,7
28,2015,Харківська,534,107,115,63
29,2015,Херсонська,356,82,24,20
30,2015,Хмельницька,284,55,33,10
31,2015,Черкаська,367,95,41,15
32,2015,Чернівецька,116,26,63,61
33,2015,Чернігівська,325,83,15,4
34,2015,м.Київ,1061,257,113,77
9,2014,АР Крим,0,0,0,0
10,2014,Вінницька,465,139,114,92
11,2014,Волинська,185,56,88,82
12,2014,Дніпропетровська,844,208,94,79
13,2014,Донецька,376,82,12,11
14,2014,Житомирська,305,98,123,105
15,2014,Закарпатська,160,43,40,39
16,2014,Запорізька,504,159,17,8
17,2014,Івано-Франківська,188,59,49,18
18,2014,Київська,358,89,39,19
19,2014,Кіровоградська,396,151,38,27
20,2014,Луганська,69,19,16,7
21,2014,Львівська,579,116,216,185
22,2014,Миколаївська,296,37,25,18
23,2014,Одеська,469,126,19,12
24,2014,Полтавська,355,86,46,36
25,2014,Рівненська,210,72,93,92
26,2014,Сумська,346,89,37,18
27,2014,Тернопільська,217,57,17,13
28,2014,Харківська,639,170,102,66
29,2014,Херсонська,379,122,24,19
30,2014,Хмельницька,288,76,81,15
31,2014,Черкаська,402,127,33,16
32,2014,Чернівецька,103,14,33,29
33,2014,Чернігівська,303,101,15,3
34,2014,м.Київ,1029,258,81,53
9,2012,Автономна pеспубліка Крим,695,200,28,17
10,2012,Вінницька,365,100,146,132
11,2012,Волинська,162,46,113,110
12,2012,Дніпропетровська,914,285,148,128
13,2012,Донецька,980,246,41,25
14,2012,Житомирська,320,96,52,43
15,2012,Закарпатська,144,38,54,50
16,2012,Запорізька,544,145,26,15
17,2012,Івано-Франківська,165,54,41,19
18,2012,Київська,377,114,19,12
19,2012,Кіровоградська,370,129,21,18
20,2012,Луганська,548,135,59,35
21,2012,Львівська,507,116,171,159
22,2012,Миколаївська,338,58,58,49
23,2012,Одеська,455,140,38,25
24,2012,Полтавська,365,100,51,34
25,2012,Рівненська,201,70,95,92
26,2012,Сумська,329,78,18,10
27,2012,Тернопільська,240,68,41,18
28,2012,Харківська,593,140,119,71
29,2012,Херсонська,369,101,36,27
30,2012,Хмельницька,296,84,78,20
31,2012,Черкаська,353,127,45,26
32,2012,Чернівецька,102,36,28,27
33,2012,Чернігівська,338,107,19,6
34,2012,м.Київ,1036,221,86,53
9,2023,АР Крим,0,0,0,0
10,2023,Вінницька,553,190,127,55
11,2023,Волинська,301,89,33,27
12,2023,Дніпропетровська,898,218,68,39
13,2023,Донецька,14,6,2,1
14,2023,Житомирська,424,139,89,56
15,2023,Закарпатська,187,48,18,15
16,2023,Запорізька,287,64,21,1
17,2023,Івано-Франківська,367,116,42,5
18,2023,Київська,540,200,38,17
19,2023,Кіровоградська,441,133,73,43
20,2023,Луганська,23,8,5,3
21,2023,Львівська,749,169,155,102
22,2023,Миколаївська,64,12,7,3
23,2023,Одеська,628,162,34,9
24,2023,Полтавська,421,125,29,10
25,2023,Рівненська,255,108,26,18
26,2023,Сумська,392,110,3,2
27,2023,Тернопільська,288,101,16,8
28,2023,Харківська,440,199,39,13
29,2023,Херсонська,168,62,7,2
30,2023,Хмельницька,385,90,18,14
31,2023,Черкаська,471,166,61,3
32,2023,Чернівецька,172,68,6,4
33,2023,Чернігівська,417,125,38,3
34,2023,м.Київ,1105,354,153,31
9,2016,АР Крим,0,0,0,0
10,2016,Вінницька,438,107,110,89
11,2016,Волинська,181,48,61,49
12,2016,Дніпропетровська,944,244,127,85
13,2016,Донецька,344,80,11,21
14,2016,Житомирська,323,78,83,67
15,2016,Закарпатська,161,54,30,24
16,2016,Запорізька,493,135,31,15
17,2016,Івано-Франківська,211,48,45,10
18,2016,Київська,425,115,46,34
19,2016,Кіровоградська,398,132,53,46
20,2016,Луганська,142,39,25,16
21,2016,Львівська,633,136,201,165
22,2016,Миколаївська,352,76,36,28
23,2016,Одеська,490,126,84,68
24,2016,Полтавська,350,100,51,39
25,2016,Рівненська,167,54,71,69
26,2016,Сумська,365,98,36,29
27,2016,Тернопільська,224,50,15,13
28,2016,Харківська,640,171,131,75
29,2016,Херсонська,467,110,28,20
30,2016,Хмельницька,269,92,24,11
31,2016,Черкаська,355,156,40,13
32,2016,Чернівецька,127,38,12,6
33,2016,Чернігівська,335,109,25,5
34,2016,м.Київ,1005,248,101,79
9,2022,АР Крим,0,0,0,0
10,2022,Вінницька,488,165,65,14
11,2022,Волинська,264,68,25,17
12,2022,Дніпропетровська,704,178,80,43
13,2022,Донецька,6,2,1,1
14,2022,Житомирська,354,108,77,45
15,2022,Закарпатська,173,44,12,5
16,2022,Запорізька,256,79,19,2
17,2022,Івано-Франківська,304,99,38,5
18,2022,Київська,387,129,25,11
19,2022,Кіровоградська,413,147,36,22
20,2022,Луганська,12,2,4,4
21,2022,Львівська,616,139,145,97
22,2022,Миколаївська,37,5,3,2
23,2022,Одеська,447,133,71,18
24,2022,Полтавська,344,100,18,9
25,2022,Рівненська,206,74,24,18
26,2022,Сумська,343,73,8,2
27,2022,Тернопільська,238,72,10,4
28,2022,Харківська,133,44,8,2
29,2022,Херсонська,176,34,2,0
30,2022,Хмельницька,311,76,16,7
31,2022,Черкаська,405,140,44,3
32,2022,Чернівецька,145,49,13,7
33,2022,Чернігівська,325,75,33,9
34,2022,м.Київ,832,242,77,10
9,2018,АР Крим,0,0,0,0
10,2018,Вінницька,442,114,67,40
11,2018,Волинська,225,77,37,33
12,2018,Дніпропетровська,947,282,144,77
13,2018,Донецька,361,110,16,3
14,2018,Житомирська,335,95,121,103
15,2018,Закарпатська,170,52,32,27
16,2018,Запорізька,550,155,29,15
17,2018,Івано-Франківська,276,74,72,6
18,2018,Київська,498,150,40,21
19,2018,Кіровоградська,413,167,75,60
20,2018,Луганська,173,56,39,18
21,2018,Львівська,709,167,262,215
22,2018,Миколаївська,316,56,33,18
23,2018,Одеська,519,142,94,62
24,2018,Полтавська,391,122,50,42
25,2018,Рівненська,159,46,37,34
26,2018,Сумська,361,86,41,34
27,2018,Тернопільська,231,46,12,9
28,2018,Харківська,829,248,130,66
29,2018,Херсонська,441,108,25,15
30,2018,Хмельницька,334,84,53,39
31,2018,Черкаська,400,132,38,12
32,2018,Чернівецька,114,32,12,8
33,2018,Чернігівська,366,122,27,9
34,2018,м.Київ,1101,233,125,55
