Region,year,gdp
Львівська,2017,58183
Миколаївська,2017,60486
Одеська,2017,62643
Полтавська,2017,105994
Рівненська,2017,42004
Сумська,2017,51367
Тернопільська,2017,38563
Харківська,2017,69409
Херсонська,2017,45486
Хмельницька,2017,49858
Черкаська,2017,59612
Чернівецька,2017,31495
Чернігівська,2017,55139
"Автономна
 Республіка Крим",2018,…
Вінницька,2018,71098
Волинська,2018,58294
Дніпропетровська,2018,114750
Донецька,2018,45936
Житомирська,2018,62905
Закарпатська,2018,41706
Запорізька,2018,85764
Івано-Франківська,2018,57030
Київська,2018,112510
Кіровоградська,2018,67743
Луганська,2018,16300
Львівська,2018,70169
Миколаївська,2018,70325
Одеська,2018,72731
Полтавська,2018,123722
Рівненська,2018,49038
Сумська,2018,62943
Тернопільська,2018,46828
Харківська,2018,86889
Херсонська,2018,52914
Хмельницька,2018,59576
Черкаська,2018,76881
Чернівецька,2018,37443
Чернігівська,2018,69712
"Автономна
 Республіка Крим",2019,…
Вінницька,2019,83133
Волинська,2019,73192
Дніпропетровська,2019,122298
Донецька,2019,49385
Житомирська,2019,70225
Закарпатська,2019,48853
Запорізька,2019,91452
Івано-Франківська,2019,63237
Київська,2019,123216
Кіровоградська,2019,77788
Луганська,2019,18793
Львівська,2019,85177
Миколаївська,2019,82121
Одеська,2019,82879
Полтавська,2019,134383
Рівненська,2019,58318
Сумська,2019,70550
Тернопільська,2019,54821
Харківська,2019,92835
Херсонська,2019,59972
Хмельницька,2019,65893
Черкаська,2019,86279
Чернівецька,2019,46135
Чернігівська,2019,78098
"Автономна
 Республіка Крим",2020,…
Вінницька,2020,88380
Волинська,2020,75193
Дніпропетровська,2020,126209
Донецька,2020,50124
Житомирська,2020,76017
Закарпатська,2020,49538
Запорізька,2020,99738
Івано-Франківська,2020,66245
Київська,2020,135817
Кіровоградська,2020,81166
Луганська,2020,20297
Львівська,2020,94317
Миколаївська,2020,86750
Одеська,2020,92823
Полтавська,2020,136608
Рівненська,2020,62485
Сумська,2020,75815
Тернопільська,2020,60565
Харківська,2020,97428
Херсонська,2020,66973
Хмельницька,2020,77153
Черкаська,2020,91817
Чернівецька,2020,50110
Чернігівська,2020,85435
"Автономна
 Республіка Крим",2021,…
Вінницька,2021,114218
Волинська,2021,90331
Дніпропетровська,2021,186697
Донецька,2021,69446
Житомирська,2021,95948
Закарпатська,2021,60632
Запорізька,2021,138521
Івано-Франківська,2021,88227
Київська,2021,162696
Кіровоградська,2021,109183
Луганська,2021,24684
Львівська,2021,119049
Миколаївська,2021,112864
Одеська,2021,115129
Полтавська,2021,195825
Рівненська,2021,77599
Сумська,2021,100760
Тернопільська,2021,79412
Харківська,2021,122227
Херсонська,2021,87378
Хмельницька,2021,96964
Черкаська,2021,112145
Чернівецька,2021,61088
Чернігівська,2021,117225
