nvisits,nhome_visits,region,year,category
20171,3109,м.Севастополь,2011,в т.ч. в сільскі жителі
5968143,443807,Автономна pеспубліка Крим,2013,Всього
9648246,722320,Вінницька,2013,Всього
6074689,344441,Волинська,2013,Всього
5722801,382823,Дніпропетровська,2013,Всього
8191756,549861,Донецька,2013,Всього
7512895,412926,Житомирська,2013,Всього
8407344,944062,Закарпатська,2013,Всього
4813180,316401,Запорізька,2013,Всього
10010851,990525,Івано-Франківська,2013,Всього
10537541,617982,Київська,2013,Всього
4682656,235640,Кіровоградська,2013,Всього
4478937,286392,Луганська,2013,Всього
10079577,793568,Львівська,2013,Всього
5413397,252772,Миколаївська,2013,Всього
7525049,517113,Одеська,2013,Всього
2488417,470908,Полтавська,2013,Всього
6233327,502010,Рівненська,2013,Всього
5872733,515697,Сумська,2013,Всього
8704832,778651,Тернопільська,2013,Всього
10993620,718066,Харківська,2013,Всього
5672748,327717,Херсонська,2013,Всього
7043003,427525,Хмельницька,2013,Всього
6281997,439898,Черкаська,2013,Всього
5351590,428409,Чернівецька,2013,Всього
4851333,287005,Чернігівська,2013,Всього
0,0,м.Київ,2013,Всього
0,0,м.Севастополь,2013,Всього
3937835,299183,Автономна pеспубліка Крим,2013,в т.ч. в сільскі жителі
2319874,386811,Вінницька,2013,в т.ч. в сільскі жителі
3570348,152487,Волинська,2013,в т.ч. в сільскі жителі
3241984,218301,Дніпропетровська,2013,в т.ч. в сільскі жителі
2335733,156006,Донецька,2013,в т.ч. в сільскі жителі
4360738,245859,Житомирська,2013,в т.ч. в сільскі жителі
5291549,577386,Закарпатська,2013,в т.ч. в сільскі жителі
2419190,154684,Запорізька,2013,в т.ч. в сільскі жителі
6154780,594064,Івано-Франківська,2013,в т.ч. в сільскі жителі
4096164,257379,Київська,2013,в т.ч. в сільскі жителі
2301665,105873,Кіровоградська,2013,в т.ч. в сільскі жителі
1629544,94660,Луганська,2013,в т.ч. в сільскі жителі
6068660,464922,Львівська,2013,в т.ч. в сільскі жителі
908349,125215,Миколаївська,2013,в т.ч. в сільскі жителі
4269388,284834,Одеська,2013,в т.ч. в сільскі жителі
1561677,293473,Полтавська,2013,в т.ч. в сільскі жителі
4152697,312627,Рівненська,2013,в т.ч. в сільскі жителі
2106193,140699,Сумська,2013,в т.ч. в сільскі жителі
5826834,502759,Тернопільська,2013,в т.ч. в сільскі жителі
980635,159193,Харківська,2013,в т.ч. в сільскі жителі
1348314,169586,Херсонська,2013,в т.ч. в сільскі жителі
3894905,210227,Хмельницька,2013,в т.ч. в сільскі жителі
3873626,268195,Черкаська,2013,в т.ч. в сільскі жителі
3988200,323845,Чернівецька,2013,в т.ч. в сільскі жителі
2414627,143386,Чернігівська,2013,в т.ч. в сільскі жителі
0,0,м.Київ,2013,в т.ч. в сільскі жителі
0,0,м.Севастополь,2013,в т.ч. в сільскі жителі
0,0,Автономна pеспубліка Крим,2019,Всього
7005950,286993,Вінницька,2019,Всього
4762601,173461,Волинська,2019,Всього
4715412,231940,Дніпропетровська,2019,Всього
3172148,116375,Донецька,2019,Всього
6025712,219751,Житомирська,2019,Всього
6623110,536573,Закарпатська,2019,Всього
4188290,191798,Запорізька,2019,Всього
7225138,484737,Івано-Франківська,2019,Всього
9084932,322544,Київська,2019,Всього
3888926,117354,Кіровоградська,2019,Всього
2368031,127593,Луганська,2019,Всього
8472018,548527,Львівська,2019,Всього
3159633,93145,Миколаївська,2019,Всього
5348010,304988,Одеська,2019,Всього
6310611,258613,Полтавська,2019,Всього
6090255,401373,Рівненська,2019,Всього
4693588,161013,Сумська,2019,Всього
7017025,511696,Тернопільська,2019,Всього
9566703,388352,Харківська,2019,Всього
4523074,187103,Херсонська,2019,Всього
5978212,197608,Хмельницька,2019,Всього
5137759,235577,Черкаська,2019,Всього
4510532,325958,Чернівецька,2019,Всього
3774178,135955,Чернігівська,2019,Всього
0,0,м.Київ,2019,Всього
0,0,м.Севастополь,2019,Всього
0,0,Автономна pеспубліка Крим,2019,в т.ч. в сільскі жителі
0,0,Вінницька,2019,в т.ч. в сільскі жителі
159958,0,Волинська,2019,в т.ч. в сільскі жителі
0,0,Дніпропетровська,2019,в т.ч. в сільскі жителі
545674,48792,Донецька,2019,в т.ч. в сільскі жителі
0,0,Житомирська,2019,в т.ч. в сільскі жителі
429529,0,Закарпатська,2019,в т.ч. в сільскі жителі
158280,0,Запорізька,2019,в т.ч. в сільскі жителі
0,0,Івано-Франківська,2019,в т.ч. в сільскі жителі
3482885,157169,Київська,2019,в т.ч. в сільскі жителі
0,0,Кіровоградська,2019,в т.ч. в сільскі жителі
320644,18779,Луганська,2019,в т.ч. в сільскі жителі
0,0,Львівська,2019,в т.ч. в сільскі жителі
3984,95,Миколаївська,2019,в т.ч. в сільскі жителі
0,0,Одеська,2019,в т.ч. в сільскі жителі
0,0,Полтавська,2019,в т.ч. в сільскі жителі
3309050,242298,Рівненська,2019,в т.ч. в сільскі жителі
0,0,Сумська,2019,в т.ч. в сільскі жителі
0,0,Тернопільська,2019,в т.ч. в сільскі жителі
