year,region,male,female
28,2020,Харківська,802,705
29,2020,Херсонська,610,559
30,2020,Хмельницька,905,784
31,2020,Черкаська,781,785
32,2020,Чернівецька,550,419
33,2020,Чернігівська,585,491
34,2020,м.Київ,0,0
9,2015,АР Крим,0,0
10,2015,Вінницька,1393,1393
11,2015,Волинська,673,549
12,2015,Дніпропетровська,859,862
13,2015,Донецька,266,410
14,2015,Житомирська,815,712
15,2015,Закарпатська,887,785
16,2015,Запорізька,681,583
17,2015,Івано-Франківська,1141,948
18,2015,Київська,1213,1222
19,2015,Кіровоградська,751,777
20,2015,Луганська,241,221
21,2015,Львівська,1517,1274
22,2015,Миколаївська,603,606
23,2015,Одеська,1166,1074
24,2015,Полтавська,1026,955
25,2015,Рівненська,738,692
26,2015,Сумська,749,645
27,2015,Тернопільська,978,837
28,2015,Харківська,938,791
29,2015,Херсонська,693,605
30,2015,Хмельницька,1108,1063
31,2015,Черкаська,1004,900
32,2015,Чернівецька,688,639
33,2015,Чернігівська,758,632
34,2015,м.Київ,0,0
9,2014,АР Крим,0,0
10,2014,Вінницька,1516,1435
11,2014,Волинська,630,609
12,2014,Дніпропетровська,846,769
13,2014,Донецька,330,353
14,2014,Житомирська,843,712
15,2014,Закарпатська,964,848
16,2014,Запорізька,644,616
17,2014,Івано-Франківська,1125,963
18,2014,Київська,1171,1235
19,2014,Кіровоградська,691,697
20,2014,Луганська,141,142
21,2014,Львівська,1517,1234
22,2014,Миколаївська,664,572
23,2014,Одеська,1248,1211
24,2014,Полтавська,1014,870
25,2014,Рівненська,739,774
26,2014,Сумська,772,670
27,2014,Тернопільська,885,863
28,2014,Харківська,922,868
29,2014,Херсонська,674,623
30,2014,Хмельницька,1079,957
31,2014,Черкаська,963,934
32,2014,Чернівецька,678,673
33,2014,Чернігівська,800,608
34,2014,м.Київ,0,0
9,2012,Автономна pеспубліка Крим,1060,1140
10,2012,Вінницька,1434,1384
11,2012,Волинська,673,583
12,2012,Дніпропетровська,927,857
13,2012,Донецька,633,565
14,2012,Житомирська,828,781
15,2012,Закарпатська,1008,807
16,2012,Запорізька,748,664
17,2012,Івано-Франківська,1068,981
18,2012,Київська,1209,1252
19,2012,Кіровоградська,796,728
20,2012,Луганська,369,382
21,2012,Львівська,1481,1287
22,2012,Миколаївська,739,627
23,2012,Одеська,1256,1189
24,2012,Полтавська,1069,989
25,2012,Рівненська,773,722
26,2012,Сумська,739,677
27,2012,Тернопільська,991,881
28,2012,Харківська,1077,985
29,2012,Херсонська,775,705
30,2012,Хмельницька,1103,1105
31,2012,Черкаська,971,943
32,2012,Чернівецька,701,579
33,2012,Чернігівська,830,696
34,2012,м.Київ,0,0
9,2023,АР Крим,0,0
10,2023,Вінницька,1287,1094
11,2023,Волинська,612,551
12,2023,Дніпропетровська,704,694
13,2023,Донецька,43,34
14,2023,Житомирська,736,653
15,2023,Закарпатська,974,824
16,2023,Запорізька,188,190
17,2023,Івано-Франківська,1292,1177
18,2023,Київська,930,983
19,2023,Кіровоградська,672,613
20,2023,Луганська,9,14
21,2023,Львівська,1633,1414
