Region,year,polluted_dumps,not_cleaned_dumps,dumps_not_cleaned_enough,num_clearing_plants
Луганська,2019,16,16,15,180
Львівська,2019,45,45,44,282
Миколаївська,2019,20,20,20,56
Одеська,2019,36,36,4,276
Полтавська,2019,2,2,2,48
Рівненська,2019,5,5,5,116
Сумська,2019,21,21,21,83
Тернопільська,2019,2,2,2,51
Харківська,2019,15,15,6,505
Херсонська,2019,1,1,−,137
Хмельницька,2019,1,1,1,142
Черкаська,2019,3,3,3,76
Чернівецька,2019,1,1,0,65
Чернігівська,2019,14,14,14,61
"Автономна 
Республіка Крим",2020,…,…,…,
Вінницька,2020,0,−,0,
Волинська,2020,0,0,−,
Дніпропетровська,2020,128,49,79,
Донецька,2020,76,0,76,
Житомирська,2020,2,0,2,
Закарпатська,2020,3,0,3,
Запорізька,2020,12,1,11,
Івано-Франківська,2020,1,−,1,
Київська,2020,2,0,2,
Кіровоградська,2020,4,−,4,
Луганська,2020,34,1,33,
Львівська,2020,123,1,122,
Миколаївська,2020,21,0,21,
Одеська,2020,25,21,4,
Полтавська,2020,2,−,2,
Рівненська,2020,15,0,15,
Сумська,2020,20,0,20,
